reserva_id,codigo_reserva,numero_ticket,vuelo_id,pasaporte_comprador,nombre_comprador,nacionalidad_comprador,fecha_nacimiento_comprador,numero_asiento,clase,comida_y_maleta,pasaporte_pasajero,nombre_pasajero,nacionalidad_pasajero,fecha_nacimiento_pasajero
4437,UAN2881-4437,6065,108,J46610530,Andrew Torres,Alemana,01-12-1981,8,Ejecutiva,VERDADERO,J46610530,Andrew Torres,Alemana,01-12-1981
3739,QAF6392-3739,4968,106,H44001820,Ann Robertson,Venezolana,27-04-1998,23,Economica,FALSO,H44001820,Ann Robertson,Venezolana,27-04-1998
2855,LUD5927-2855,8734,102,C87025090,Diana Frank,Alemana,07-12-1979,7,Economica,FALSO,D39176940,Patrick Choi,Chilena,26-06-1985
807,BTA8394-0807,542,128,D76513142,Victoria Brennan,Uruguaya,19-06-1977,22,Economica,VERDADERO,O41678476,Andrew Malone,Argentina,24-06-1996
873,KAI7891-0873,6730,133,Y05451726,Kathleen Johnson,Chilena,24-02-1973,6,Economica,VERDADERO,W06120402,Adam Clark,Estadounidense,10-06-1993
4222,LAW6318-4222,7235,96,N49905893,Emma Scott,Chilena,29-07-1989,5,Ejecutiva,FALSO,H44001820,Ann Robertson,Venezolana,27-04-1998
3891,EAL8271-3891,3393,117,J86333952,Leslie Howard,Venezolana,22-09-1971,16,Primera clase,FALSO,T72132858,Kathy Luna,Chilena,13-07-1990
1991,UAN2468-1991,2581,99,D84069297,Brittany Jones,Uruguaya,30-04-1978,12,Economica,FALSO,J86333952,Leslie Howard,Venezolana,22-09-1971
4669,MPH1782-4669,9662,118,Z09262256,Joseph Wilson,Uruguaya,28-07-1993,28,Ejecutiva,VERDADERO,Z09262256,Joseph Wilson,Uruguaya,28-07-1993
1037,LAT5532-1037,6391,100,X66304032,Victoria Odom,Francesa,04-12-1986,12,Economica,VERDADERO,T33834498,Alejandro Allen,Chilena,20-05-1992
2504,XLE3285-2504,815,125,L87663260,Heather Bolton,Estadounidense,17-09-1982,22,Ejecutiva,FALSO,G04408945,Robert Butler,Argentina,02-02-1974
2704,UAN2468-2704,5177,99,X84322989,Mr. Russell Abbott,Chilena,16-11-1984,8,Economica,VERDADERO,C63211080,Brian Mitchell,Chilena,04-05-1983
1422,EAL8271-1422,6731,117,L87663260,Heather Bolton,Estadounidense,17-09-1982,15,Economica,VERDADERO,N49905893,Emma Scott,Chilena,29-07-1989
3366,IBE8751-3366,2248,124,D46250570,Michael Mcdaniel,Venezolana,04-11-1994,6,Primera clase,VERDADERO,O01507856,James Hunter,Chilena,14-05-1995
4265,AZI6476-4265,3175,101,Q62966391,Patricia Parker,Mexicana,07-08-1994,23,Economica,VERDADERO,C87025090,Diana Frank,Alemana,07-12-1979
231,UAN2881-0231,936,108,N68461604,Gary Vasquez,Chilena,21-11-1984,6,Ejecutiva,FALSO,P11550487,Maria Perez,Francesa,11-08-1996
2218,UAN2881-2218,6134,108,L97895867,Sarah Williams,Uruguaya,06-11-1992,11,Ejecutiva,VERDADERO,L97895867,Sarah Williams,Uruguaya,06-11-1992
2964,UCA4751-2964,9087,107,Y88079794,Gregory Bradley,Chilena,18-04-1986,14,Economica,VERDADERO,T59160871,Lucas Jones,Uruguaya,02-03-1992
3845,KAI3589-3845,8358,115,G15489494,Anthony Francis,Argentina,13-02-1988,27,Economica,VERDADERO,Y13424296,Katherine Perez,Mexicana,29-07-1978
1618,IBE8751-1618,4807,124,N47846939,John Lee,Italiana,25-01-1996,29,Ejecutiva,VERDADERO,V79731274,Corey Elliott,Venezolana,04-10-1979
2910,LAW6351-2910,6732,105,V79731274,Corey Elliott,Venezolana,04-10-1979,23,Primera clase,VERDADERO,O01507856,James Hunter,Chilena,14-05-1995
2540,ADC6283-2540,2589,127,T18212951,Joel Compton,Argentina,03-03-1991,15,Primera clase,VERDADERO,Q62966391,Patricia Parker,Mexicana,07-08-1994
3231,NCY5615-3231,2945,116,A40223024,Janice Smith,Argentina,25-03-1993,14,Economica,VERDADERO,O85238546,Sheri Mcdonald,Argentina,14-03-1984
2280,ETA7128-2280,704,114,N24258653,Kayla Douglas,Uruguaya,28-04-1970,23,Economica,VERDADERO,H23592194,Ethan Gilbert,Uruguaya,30-12-1975
3588,UAN2468-3588,5215,99,P34583903,Kelsey Huff,Estadounidense,08-08-1972,31,Primera clase,FALSO,T33834498,Alejandro Allen,Chilena,20-05-1992
4150,BTA8394-4150,2391,128,N15841852,John Mcneil,Chilena,15-06-1981,31,Economica,VERDADERO,N24258653,Kayla Douglas,Uruguaya,28-04-1970
4660,EAL8271-4660,83,117,V79731274,Corey Elliott,Venezolana,04-10-1979,18,Primera clase,VERDADERO,V79731274,Corey Elliott,Venezolana,04-10-1979
3536,XLE7933-3536,2341,95,G04408945,Robert Butler,Argentina,02-02-1974,11,Primera clase,FALSO,J34719947,Heather Scott,Estadounidense,02-05-1973
2875,BTA9626-2875,8601,103,G15489494,Anthony Francis,Argentina,13-02-1988,5,Ejecutiva,FALSO,F70729457,Justin Hudson,Chilena,12-02-1994
1726,LAM9574-1726,5888,131,J46610530,Andrew Torres,Alemana,01-12-1981,22,Ejecutiva,FALSO,J46610530,Andrew Torres,Alemana,01-12-1981
2540,ADC6283-2540,6633,127,T18212951,Joel Compton,Argentina,03-03-1991,19,Economica,FALSO,D84069297,Brittany Jones,Uruguaya,30-04-1978
2288,NCY5615-2288,7403,116,Y23187711,Vicki Ward,Argentina,31-08-1981,28,Primera clase,VERDADERO,X66304032,Victoria Odom,Francesa,04-12-1986
92,UAN2468-0092,472,99,F23633774,Amanda Ruiz,Francesa,09-07-1977,25,Economica,FALSO,N68461604,Gary Vasquez,Chilena,21-11-1984
4236,LAW1134-4236,1361,97,T72132858,Kathy Luna,Chilena,13-07-1990,11,Economica,VERDADERO,C63211080,Brian Mitchell,Chilena,04-05-1983
2226,LRC4743-2226,2243,110,L94336722,Julia Watkins,Uruguaya,25-08-1995,10,Primera clase,FALSO,L94336722,Julia Watkins,Uruguaya,25-08-1995
1286,XLE5111-1286,2274,112,M25657749,Casey Bennett,Estadounidense,12-03-1984,21,Primera clase,VERDADERO,M25657749,Casey Bennett,Estadounidense,12-03-1984
2556,LRC9669-2556,606,130,Z87364523,Samantha Martin,Alemana,26-03-1981,24,Primera clase,VERDADERO,F89276118,Todd Wilkins,Italiana,30-01-1991
736,XLE3285-0736,9531,125,D64763364,James Johnson,Chilena,09-06-1994,3,Economica,VERDADERO,D64763364,James Johnson,Chilena,09-06-1994
2910,LAW6351-2910,3810,105,V79731274,Corey Elliott,Venezolana,04-10-1979,28,Primera clase,FALSO,V79731274,Corey Elliott,Venezolana,04-10-1979
1016,UAN2468-1016,4726,99,F09235820,Katrina Frye,Chilena,11-10-1995,28,Economica,VERDADERO,F09235820,Katrina Frye,Chilena,11-10-1995
4396,LAW6351-4396,8163,105,O01507856,James Hunter,Chilena,14-05-1995,11,Primera clase,FALSO,C63211080,Brian Mitchell,Chilena,04-05-1983
2029,AZI6476-2029,4684,101,J34719947,Heather Scott,Estadounidense,02-05-1973,3,Economica,VERDADERO,H44001820,Ann Robertson,Venezolana,27-04-1998
2288,NCY5615-2288,6965,116,Y23187711,Vicki Ward,Argentina,31-08-1981,22,Primera clase,VERDADERO,R56995721,David Keller,Venezolana,24-07-1975
1480,LUD7177-1480,1895,121,V39868007,Cassandra Kirby,Chilena,02-04-1997,26,Primera clase,VERDADERO,Q76465555,Isaiah Wood,Francesa,05-11-1980
3396,ADC6283-3396,3329,127,H44001820,Ann Robertson,Venezolana,27-04-1998,5,Primera clase,VERDADERO,D46250570,Michael Mcdaniel,Venezolana,04-11-1994
4396,LAW6351-4396,7333,105,O01507856,James Hunter,Chilena,14-05-1995,20,Primera clase,VERDADERO,Z51226931,Matthew Simmons,Chilena,18-05-1978
628,NCY1133-0628,8037,122,J76795477,Mikayla White,Argentina,30-09-1984,5,Ejecutiva,VERDADERO,T72132858,Kathy Luna,Chilena,13-07-1990
182,IBE2338-0182,7840,104,J39937043,Danielle Johnson,Mexicana,18-12-1981,14,Primera clase,VERDADERO,J39937043,Danielle Johnson,Mexicana,18-12-1981
4523,KEA7139-4523,2226,113,L56496275,Cheryl Bolton,Uruguaya,16-12-1972,2,Economica,FALSO,Q62966391,Patricia Parker,Mexicana,07-08-1994
538,MPH1782-0538,4287,118,F15206543,Kristen Harris,Chilena,25-11-1972,23,Economica,VERDADERO,I19062847,Christopher Garcia,Chilena,06-12-1986
736,XLE3285-0736,7666,125,D64763364,James Johnson,Chilena,09-06-1994,9,Ejecutiva,FALSO,D84069297,Brittany Jones,Uruguaya,30-04-1978
2633,COG3144-2633,6555,98,I19062847,Christopher Garcia,Chilena,06-12-1986,21,Economica,FALSO,I19062847,Christopher Garcia,Chilena,06-12-1986
3974,ETA6742-3974,3138,120,H23592194,Ethan Gilbert,Uruguaya,30-12-1975,21,Primera clase,FALSO,H23592194,Ethan Gilbert,Uruguaya,30-12-1975
2542,BTA8394-2542,9885,128,I19062847,Christopher Garcia,Chilena,06-12-1986,7,Primera clase,VERDADERO,I19062847,Christopher Garcia,Chilena,06-12-1986
3679,BTA9626-3679,114,103,J76795477,Mikayla White,Argentina,30-09-1984,29,Economica,VERDADERO,J46009647,Erica Ochoa,Italiana,11-03-1994
2276,KEA7139-2276,5345,113,R17782317,Zachary Davenport,Venezolana,29-12-1971,27,Economica,VERDADERO,L97895867,Sarah Williams,Uruguaya,06-11-1992
4902,COG4299-4902,4198,129,F15206543,Kristen Harris,Chilena,25-11-1972,28,Economica,FALSO,O41678476,Andrew Malone,Argentina,24-06-1996
3712,IBE2338-3712,9995,104,U37349664,Diane Ritter,Venezolana,05-05-1996,27,Primera clase,VERDADERO,D99418548,Alexis Smith,Argentina,21-03-1997
219,LAW6351-0219,246,105,L56496275,Cheryl Bolton,Uruguaya,16-12-1972,7,Economica,FALSO,L56496275,Cheryl Bolton,Uruguaya,16-12-1972
3668,LUD5927-3668,3235,102,I19062847,Christopher Garcia,Chilena,06-12-1986,29,Primera clase,VERDADERO,I19062847,Christopher Garcia,Chilena,06-12-1986
2578,LAT2175-2578,670,132,Y88079794,Gregory Bradley,Chilena,18-04-1986,7,Primera clase,VERDADERO,P34583903,Kelsey Huff,Estadounidense,08-08-1972
4265,AZI6476-4265,2928,101,Q62966391,Patricia Parker,Mexicana,07-08-1994,26,Economica,FALSO,Q62966391,Patricia Parker,Mexicana,07-08-1994
1082,BTA9626-1082,3083,103,V79731274,Corey Elliott,Venezolana,04-10-1979,28,Ejecutiva,FALSO,V79731274,Corey Elliott,Venezolana,04-10-1979
3832,KEA7139-3832,8398,113,J47009281,Susan Stewart MD,Estadounidense,08-02-1997,12,Primera clase,VERDADERO,U37349664,Diane Ritter,Venezolana,05-05-1996
2964,UCA4751-2964,4463,107,Y88079794,Gregory Bradley,Chilena,18-04-1986,9,Ejecutiva,VERDADERO,J39937043,Danielle Johnson,Mexicana,18-12-1981
1970,LAW1134-1970,2906,97,Z87364523,Samantha Martin,Alemana,26-03-1981,16,Primera clase,VERDADERO,X66304032,Victoria Odom,Francesa,04-12-1986
820,COG4299-0820,7155,129,J34719947,Heather Scott,Estadounidense,02-05-1973,21,Economica,FALSO,J34719947,Heather Scott,Estadounidense,02-05-1973
3421,LRC9669-3421,4274,130,B30315997,Tina Shaw,Estadounidense,26-10-1996,13,Primera clase,FALSO,D84069297,Brittany Jones,Uruguaya,30-04-1978
3294,ETA6742-3294,4478,120,N07672370,Kevin Wilson,Uruguaya,11-09-1986,2,Primera clase,FALSO,D76513142,Victoria Brennan,Uruguaya,19-06-1977
531,EAL8271-0531,5536,117,N15841852,John Mcneil,Chilena,15-06-1981,19,Ejecutiva,FALSO,T18212951,Joel Compton,Argentina,03-03-1991
2844,AZI6476-2844,9747,101,O04335063,Jonathan Sims,Estadounidense,13-04-1974,17,Ejecutiva,FALSO,N47846939,John Lee,Italiana,25-01-1996
405,XLE5111-0405,7880,112,Z87364523,Samantha Martin,Alemana,26-03-1981,14,Ejecutiva,VERDADERO,D39176940,Patrick Choi,Chilena,26-06-1985
4247,UAN2468-4247,2626,99,N49905893,Emma Scott,Chilena,29-07-1989,15,Ejecutiva,VERDADERO,H44001820,Ann Robertson,Venezolana,27-04-1998
1007,COG3144-1007,7804,98,Z09262256,Joseph Wilson,Uruguaya,28-07-1993,8,Economica,VERDADERO,L94336722,Julia Watkins,Uruguaya,25-08-1995
444,KAI3589-0444,4471,115,X66304032,Victoria Odom,Francesa,04-12-1986,25,Primera clase,FALSO,X66304032,Victoria Odom,Francesa,04-12-1986
2048,LUD5927-2048,436,102,J86333952,Leslie Howard,Venezolana,22-09-1971,2,Economica,VERDADERO,E44895667,Angela Reynolds,Estadounidense,09-08-1982
159,AZI6476-0159,4327,101,C59429415,Brian Garcia,Chilena,20-04-1992,25,Economica,VERDADERO,N55362278,Laura Marshall,Chilena,19-05-1991
905,LAW6318-0905,5864,96,F89276118,Todd Wilkins,Italiana,30-01-1991,26,Ejecutiva,VERDADERO,L94336722,Julia Watkins,Uruguaya,25-08-1995
834,LRC9669-0834,8172,130,J46610530,Andrew Torres,Alemana,01-12-1981,9,Economica,FALSO,J46610530,Andrew Torres,Alemana,01-12-1981
736,XLE3285-0736,8314,125,D64763364,James Johnson,Chilena,09-06-1994,26,Ejecutiva,VERDADERO,C87025090,Diana Frank,Alemana,07-12-1979
2988,UAN2881-2988,9508,108,N07672370,Kevin Wilson,Uruguaya,11-09-1986,17,Ejecutiva,FALSO,N07672370,Kevin Wilson,Uruguaya,11-09-1986
3772,UAN2881-3772,2220,108,X84322989,Mr. Russell Abbott,Chilena,16-11-1984,19,Economica,VERDADERO,X84322989,Mr. Russell Abbott,Chilena,16-11-1984
1037,LAT5532-1037,384,100,X66304032,Victoria Odom,Francesa,04-12-1986,18,Primera clase,VERDADERO,X66304032,Victoria Odom,Francesa,04-12-1986
842,LAM9574-0842,7042,131,K07643594,Suzanne Goodman,Chilena,16-11-1987,8,Ejecutiva,VERDADERO,D76513142,Victoria Brennan,Uruguaya,19-06-1977
1515,NCY1133-1515,5471,122,C63211080,Brian Mitchell,Chilena,04-05-1983,8,Ejecutiva,FALSO,C59429415,Brian Garcia,Chilena,20-04-1992
2577,LAM9574-2577,5029,131,P84627985,Meghan Davis,Chilena,15-11-1970,5,Economica,FALSO,N24258653,Kayla Douglas,Uruguaya,28-04-1970
4064,XLE3285-4064,5275,125,X66304032,Victoria Odom,Francesa,04-12-1986,14,Economica,FALSO,S05106445,Gregory Andrade,Mexicana,20-12-1984
3394,QAF4466-3394,8630,126,J46610530,Andrew Torres,Alemana,01-12-1981,13,Ejecutiva,FALSO,N24258653,Kayla Douglas,Uruguaya,28-04-1970
3376,XLE3285-3376,9855,125,T72132858,Kathy Luna,Chilena,13-07-1990,19,Primera clase,FALSO,T33834498,Alejandro Allen,Chilena,20-05-1992
538,MPH1782-0538,46,118,F15206543,Kristen Harris,Chilena,25-11-1972,21,Economica,VERDADERO,I71394677,Jessica Macias,Chilena,12-04-1986
4604,ETA7128-4604,8056,114,C87025090,Diana Frank,Alemana,07-12-1979,24,Economica,FALSO,Z09262256,Joseph Wilson,Uruguaya,28-07-1993
4396,LAW6351-4396,224,105,O01507856,James Hunter,Chilena,14-05-1995,32,Ejecutiva,VERDADERO,R10584802,John Luna,Chilena,04-11-1983
2621,LAW6318-2621,2153,96,I19062847,Christopher Garcia,Chilena,06-12-1986,17,Ejecutiva,VERDADERO,T18212951,Joel Compton,Argentina,03-03-1991
2543,COG4299-2543,3002,129,N49905893,Emma Scott,Chilena,29-07-1989,22,Economica,VERDADERO,N49905893,Emma Scott,Chilena,29-07-1989
736,XLE3285-0736,840,125,D64763364,James Johnson,Chilena,09-06-1994,28,Economica,FALSO,Y23187711,Vicki Ward,Argentina,31-08-1981
3339,EAL7933-3339,1959,123,N47846939,John Lee,Italiana,25-01-1996,26,Economica,FALSO,N47846939,John Lee,Italiana,25-01-1996
159,AZI6476-0159,265,101,C59429415,Brian Garcia,Chilena,20-04-1992,19,Ejecutiva,FALSO,C59429415,Brian Garcia,Chilena,20-04-1992
3845,KAI3589-3845,4062,115,G15489494,Anthony Francis,Argentina,13-02-1988,22,Economica,VERDADERO,I71394677,Jessica Macias,Chilena,12-04-1986
3972,ADC8249-3972,4381,119,U68917595,Paul Brown,Francesa,24-08-1987,23,Economica,VERDADERO,X66304032,Victoria Odom,Francesa,04-12-1986
435,ETA7128-0435,65,114,O04335063,Jonathan Sims,Estadounidense,13-04-1974,25,Economica,FALSO,O85238546,Sheri Mcdonald,Argentina,14-03-1984
4697,ADC8249-4697,4213,119,D64763364,James Johnson,Chilena,09-06-1994,8,Economica,VERDADERO,I63697476,Emily Sullivan,Venezolana,25-07-1991
4158,COG4299-4158,5661,129,P11550487,Maria Perez,Francesa,11-08-1996,16,Economica,FALSO,P11550487,Maria Perez,Francesa,11-08-1996
4772,XLE3285-4772,8076,125,V03976673,Mark Greene,Chilena,09-12-1998,18,Economica,FALSO,V03976673,Mark Greene,Chilena,09-12-1998
4831,BTA8394-4831,8783,128,F23633774,Amanda Ruiz,Francesa,09-07-1977,4,Economica,VERDADERO,F23633774,Amanda Ruiz,Francesa,09-07-1977
2556,LRC9669-2556,8835,130,Z87364523,Samantha Martin,Alemana,26-03-1981,11,Economica,VERDADERO,T59160871,Lucas Jones,Uruguaya,02-03-1992
4979,LAT2175-4979,8180,132,X66304032,Victoria Odom,Francesa,04-12-1986,25,Ejecutiva,FALSO,X66304032,Victoria Odom,Francesa,04-12-1986
1687,BTA8394-1687,9189,128,N47846939,John Lee,Italiana,25-01-1996,26,Primera clase,FALSO,N47846939,John Lee,Italiana,25-01-1996
2542,BTA8394-2542,1146,128,I19062847,Christopher Garcia,Chilena,06-12-1986,20,Economica,FALSO,Q76465555,Isaiah Wood,Francesa,05-11-1980
2515,QAF4466-2515,6214,126,T18212951,Joel Compton,Argentina,03-03-1991,1,Primera clase,VERDADERO,P84627985,Meghan Davis,Chilena,15-11-1970
3463,LAT2175-3463,2142,132,V79731274,Corey Elliott,Venezolana,04-10-1979,21,Primera clase,FALSO,V79731274,Corey Elliott,Venezolana,04-10-1979
1196,LAM9554-1196,7102,109,X49704522,James Rojas,Chilena,29-05-1986,10,Primera clase,VERDADERO,X49704522,James Rojas,Chilena,29-05-1986
2577,LAM9574-2577,4105,131,P84627985,Meghan Davis,Chilena,15-11-1970,7,Economica,FALSO,P84627985,Meghan Davis,Chilena,15-11-1970
3405,BTA8394-3405,8459,128,G69357980,Jerry Park,Argentina,28-06-1980,5,Primera clase,FALSO,G69357980,Jerry Park,Argentina,28-06-1980
2504,XLE3285-2504,4856,125,L87663260,Heather Bolton,Estadounidense,17-09-1982,7,Economica,FALSO,Y13424296,Katherine Perez,Mexicana,29-07-1978
2465,NCY1133-2465,4966,122,G69357980,Jerry Park,Argentina,28-06-1980,2,Economica,VERDADERO,M25657749,Casey Bennett,Estadounidense,12-03-1984
2578,LAT2175-2578,2097,132,Y88079794,Gregory Bradley,Chilena,18-04-1986,8,Economica,VERDADERO,Y88079794,Gregory Bradley,Chilena,18-04-1986
3394,QAF4466-3394,181,126,J46610530,Andrew Torres,Alemana,01-12-1981,25,Ejecutiva,FALSO,Z87364523,Samantha Martin,Alemana,26-03-1981
4160,LRC9669-4160,2636,130,W06120402,Adam Clark,Estadounidense,10-06-1993,7,Ejecutiva,VERDADERO,W06120402,Adam Clark,Estadounidense,10-06-1993
2515,QAF4466-2515,8266,126,T18212951,Joel Compton,Argentina,03-03-1991,12,Ejecutiva,FALSO,Z09262256,Joseph Wilson,Uruguaya,28-07-1993
1051,AZI6476-1051,4275,101,Z87364523,Samantha Martin,Alemana,26-03-1981,24,Ejecutiva,VERDADERO,Z87364523,Samantha Martin,Alemana,26-03-1981
4241,COG3144-4241,6330,98,X66304032,Victoria Odom,Francesa,04-12-1986,23,Ejecutiva,FALSO,V79731274,Corey Elliott,Venezolana,04-10-1979
