trabajador_id,nombre,fecha_nacimiento,pasaporte,nombre_compania,codigo_compania,licencia_actual_id,vuelo_id,rol
45,Jill Haas,10-04-1986,U50608611,MARTINAIR HOLLAND,MPH,,117,Paramedico
25,Danny Pratt,31-10-1998,E10934506,LATAM CARGO,UCA,47,139,Piloto
25,Danny Pratt,31-10-1998,E10934506,EASTERN AIRLINES,EAL,47,29,Piloto
10,Alex Deleon,03-10-1979,A35692355,IBERIA,IBE,11,69,Piloto
59,Jacob Duran,25-02-1988,A85793465,NO_COMPANY,NCY,17,17,Piloto
20,James Singleton,12-08-1977,U46471214,LATAM ARGENTINA,LAM,,7,Paramedico
43,Rebecca Valenzuela,18-08-1971,G17571521,BRITISH,BTA,,94,Paramedico
59,Jacob Duran,25-02-1988,A85793465,QANTAS,QAF,17,57,Copiloto
8,Jason Edwards,09-02-1975,J22810925,LACSA,LRC,45,41,Copiloto
0,Jessica Harvey,08-04-1996,L89163667,LATAM CARGO,UCA,37,143,Copiloto
8,Jason Edwards,09-02-1975,J22810925,LACSA,LRC,45,109,Piloto
53,Patricia Alvarado,01-08-1983,P27318304,BRITISH,BTA,,27,Paramedico
14,Ronnie Macias,12-02-1988,J06543685,LATAM DOMESTICO,LUD,,117,Tripulante de Cabina
8,Jason Edwards,09-02-1975,J22810925,LACSA,LRC,45,120,Piloto
40,Brian Berry,22-12-1998,N92528667,ETHOPIAN AIRLINES,ETA,,11,Paramedico
51,Kristina Gilmore,13-12-1985,B29047250,NO_COMPANY,NCY,,137,Tripulante de Cabina
25,Danny Pratt,31-10-1998,E10934506,AEROVIAS DAP (centro/norte),ADC,47,8,Copiloto
59,Jacob Duran,25-02-1988,A85793465,LAW,LAW,48,74,Piloto
8,Jason Edwards,09-02-1975,J22810925,MARTINAIR HOLLAND,MPH,15,6,Copiloto
35,Francisco Rich,21-02-1996,D89562085,OCEANAIR,COG,,89,Paramedico
34,Ronald Monroe,12-09-1984,C02131672,LATAM DOMESTICO,LUD,41,89,Piloto
8,Jason Edwards,09-02-1975,J22810925,LACSA,LRC,45,131,Piloto
37,Joe Cabrera,13-08-1994,O98651462,LAW,LAW,25,67,Copiloto
54,Gene Obrien,02-07-1999,Q49180524,ALITALIA,AZI,0,100,Piloto
8,Jason Edwards,09-02-1975,J22810925,AEROVIAS DAP (centro/norte),ADC,15,131,Piloto
25,Danny Pratt,31-10-1998,E10934506,BRITISH,BTA,36,112,Copiloto
25,Danny Pratt,31-10-1998,E10934506,KALITTA AIR,KAI,36,125,Copiloto
31,Linda Warren,13-03-1975,L01109034,AEROVIAS DAP (centro/norte),ADC,50,105,Piloto
59,Jacob Duran,25-02-1988,A85793465,OCEANAIR,COG,48,13,Piloto
8,Jason Edwards,09-02-1975,J22810925,AEROVIAS DAP (centro/norte),ADC,15,88,Copiloto
19,Desiree Williams,19-03-1993,Z32250364,LATAM DOMESTICO,LUD,,85,Tripulante de Cabina
37,Joe Cabrera,13-08-1994,O98651462,BRITISH,BTA,25,129,Piloto
15,Matthew Walsh,20-09-1993,S26547035,LACSA,LRC,12,77,Copiloto
17,Laura Ward,23-01-1981,I74549867,EASTERN AIRLINES,EAL,28,134,Copiloto
21,Kimberly Brown,02-09-1999,H50641909,LATAM ECUADOR,XLE,22,54,Piloto
8,Jason Edwards,09-02-1975,J22810925,LACSA,LRC,15,0,Piloto
59,Jacob Duran,25-02-1988,A85793465,LATAM ARGENTINA,LAM,17,53,Piloto
59,Jacob Duran,25-02-1988,A85793465,OCEANAIR,COG,17,51,Piloto
59,Jacob Duran,25-02-1988,A85793465,LATAM ARGENTINA,LAM,17,73,Copiloto
23,Latasha Nelson,09-05-1986,V51246373,MARTINAIR HOLLAND,MPH,49,48,Copiloto
17,Laura Ward,23-01-1981,I74549867,MARTINAIR HOLLAND,MPH,28,134,Copiloto
17,Laura Ward,23-01-1981,I74549867,ETHOPIAN AIRLINES,ETA,28,134,Copiloto
8,Jason Edwards,09-02-1975,J22810925,IBERIA,IBE,15,64,Copiloto
18,Michael Chavez,28-08-1976,O16330677,BRITISH,BTA,,65,Tripulante de Cabina
23,Latasha Nelson,09-05-1986,V51246373,LACSA,LRC,49,130,Copiloto
12,Ronnie Moore,12-01-1997,L28170812,AEROVIAS DAP (centro/norte),ADC,,87,Tripulante de Cabina
8,Jason Edwards,09-02-1975,J22810925,LATAM INTER,LAT,15,119,Piloto
19,Desiree Williams,19-03-1993,Z32250364,LATAM DOMESTICO,LUD,,112,Tripulante de Cabina
10,Alex Deleon,03-10-1979,A35692355,MARTINAIR HOLLAND,MPH,11,0,Copiloto
59,Jacob Duran,25-02-1988,A85793465,QANTAS,QAF,48,4,Copiloto
25,Danny Pratt,31-10-1998,E10934506,BRITISH,BTA,36,119,Copiloto
40,Brian Berry,22-12-1998,N92528667,NO_COMPANY,NCY,,96,Paramedico
59,Jacob Duran,25-02-1988,A85793465,OCEANAIR,COG,17,126,Copiloto
7,Curtis Gutierrez,14-03-1974,Q46419538,ALITALIA,AZI,7,1,Piloto
4,Diane Swanson,14-02-1974,F08731569,OCEANAIR,COG,,105,Tripulante de Cabina
19,Desiree Williams,19-03-1993,Z32250364,ETHOPIAN AIRLINES,ETA,,112,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,ALITALIA,AZI,,136,Tripulante de Cabina
45,Jill Haas,10-04-1986,U50608611,LAW,LAW,,92,Paramedico
46,Heather Arnold,10-01-1999,Y81323264,UNITED,UAN,,45,Tripulante de Cabina
46,Heather Arnold,10-01-1999,Y81323264,UNITED,UAN,,28,Tripulante de Cabina
18,Michael Chavez,28-08-1976,O16330677,LATAM CARGO,UCA,,25,Tripulante de Cabina
59,Jacob Duran,25-02-1988,A85793465,BRITISH,BTA,48,52,Copiloto
16,Tracey Harris,05-06-1978,C97271665,ETHOPIAN AIRLINES,ETA,,123,Tripulante de Cabina
15,Matthew Walsh,20-09-1993,S26547035,IBERIA,IBE,46,131,Copiloto
58,Samuel Jimenez,07-01-1984,B79815379,NO_COMPANY,NCY,,80,Tripulante de Cabina
31,Linda Warren,13-03-1975,L01109034,ETHOPIAN AIRLINES,ETA,50,14,Copiloto
37,Joe Cabrera,13-08-1994,O98651462,LATAM INTER,LAT,25,16,Piloto
54,Gene Obrien,02-07-1999,Q49180524,LATAM INTER,LAT,0,100,Piloto
8,Jason Edwards,09-02-1975,J22810925,LATAM DOMESTICO,LUD,45,88,Copiloto
8,Jason Edwards,09-02-1975,J22810925,AEROVIAS DAP (centro/norte),ADC,45,67,Piloto
50,Adam Herrera,04-12-1976,Y37241205,LAW,LAW,,95,Paramedico
18,Michael Chavez,28-08-1976,O16330677,BRITISH,BTA,,55,Tripulante de Cabina
18,Michael Chavez,28-08-1976,O16330677,ETHOPIAN AIRLINES,ETA,,25,Tripulante de Cabina
37,Joe Cabrera,13-08-1994,O98651462,BRITISH,BTA,25,83,Copiloto
31,Linda Warren,13-03-1975,L01109034,NO_COMPANY,NCY,50,71,Piloto
23,Latasha Nelson,09-05-1986,V51246373,LAW,LAW,49,82,Copiloto
17,Laura Ward,23-01-1981,I74549867,EASTERN AIRLINES,EAL,28,90,Copiloto
22,Rodney Wilson,18-10-1973,R08362516,LATAM ARGENTINA,LAM,,136,Tripulante de Cabina
7,Curtis Gutierrez,14-03-1974,Q46419538,AEROVIAS DAP (centro/norte),ADC,7,19,Piloto
59,Jacob Duran,25-02-1988,A85793465,KOREAN AIR,KEA,17,3,Copiloto
25,Danny Pratt,31-10-1998,E10934506,EASTERN AIRLINES,EAL,36,125,Copiloto
14,Ronnie Macias,12-02-1988,J06543685,LATAM DOMESTICO,LUD,,121,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,OCEANAIR,COG,,137,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,KALITTA AIR,KAI,,74,Tripulante de Cabina
8,Jason Edwards,09-02-1975,J22810925,ETHOPIAN AIRLINES,ETA,45,87,Copiloto
58,Samuel Jimenez,07-01-1984,B79815379,NO_COMPANY,NCY,,29,Tripulante de Cabina
0,Jessica Harvey,08-04-1996,L89163667,LATAM CARGO,UCA,37,19,Copiloto
47,Michael Compton,07-01-1980,T63857772,LATAM ARGENTINA,LAM,,109,Paramedico
0,Jessica Harvey,08-04-1996,L89163667,IBERIA,IBE,37,19,Copiloto
8,Jason Edwards,09-02-1975,J22810925,LATAM ECUADOR,XLE,45,55,Copiloto
7,Curtis Gutierrez,14-03-1974,Q46419538,AEROVIAS DAP (centro/norte),ADC,7,8,Piloto
24,Eric Phelps,01-10-1994,B96464671,LATAM CARGO,UCA,35,112,Piloto
56,Isaiah Riley,18-09-1986,W12727804,UNITED,UAN,,108,Tripulante de Cabina
31,Linda Warren,13-03-1975,L01109034,LATAM ECUADOR,XLE,50,10,Piloto
8,Jason Edwards,09-02-1975,J22810925,LATAM INTER,LAT,15,132,Copiloto
22,Rodney Wilson,18-10-1973,R08362516,EASTERN AIRLINES,EAL,,108,Tripulante de Cabina
59,Jacob Duran,25-02-1988,A85793465,LATAM ARGENTINA,LAM,17,13,Piloto
8,Jason Edwards,09-02-1975,J22810925,ETHOPIAN AIRLINES,ETA,45,76,Copiloto
25,Danny Pratt,31-10-1998,E10934506,EASTERN AIRLINES,EAL,36,29,Piloto
32,Darrell Henderson,14-03-1975,I87476188,LATAM CARGO,UCA,,132,Paramedico
34,Ronald Monroe,12-09-1984,C02131672,QANTAS,QAF,2,89,Piloto
59,Jacob Duran,25-02-1988,A85793465,KOREAN AIR,KEA,17,66,Piloto
23,Latasha Nelson,09-05-1986,V51246373,LACSA,LRC,49,62,Piloto
1,Melanie Cummings,01-09-1980,J00360904,LATAM DOMESTICO,LUD,,50,Tripulante de Cabina
49,Kenneth Brady,06-11-1981,O21522167,KALITTA AIR,KAI,,138,Paramedico
53,Patricia Alvarado,01-08-1983,P27318304,KALITTA AIR,KAI,,43,Paramedico
59,Jacob Duran,25-02-1988,A85793465,KALITTA AIR,KAI,17,51,Piloto
19,Desiree Williams,19-03-1993,Z32250364,AEROVIAS DAP (centro/norte),ADC,,121,Tripulante de Cabina
2,Melissa Jimenez,18-12-1998,W08204144,LATAM DOMESTICO,LUD,,91,Tripulante de Cabina
59,Jacob Duran,25-02-1988,A85793465,LATAM ARGENTINA,LAM,48,17,Piloto
42,Deborah Martinez,03-02-1987,G18065401,LACSA,LRC,,138,Tripulante de Cabina
8,Jason Edwards,09-02-1975,J22810925,LATAM ECUADOR,XLE,15,55,Copiloto
59,Jacob Duran,25-02-1988,A85793465,KALITTA AIR,KAI,17,29,Copiloto
56,Isaiah Riley,18-09-1986,W12727804,KALITTA AIR,KAI,,27,Tripulante de Cabina
21,Kimberly Brown,02-09-1999,H50641909,OCEANAIR,COG,51,111,Copiloto
8,Jason Edwards,09-02-1975,J22810925,AEROVIAS DAP (centro/norte),ADC,15,110,Piloto
23,Latasha Nelson,09-05-1986,V51246373,LACSA,LRC,49,26,Piloto
19,Desiree Williams,19-03-1993,Z32250364,MARTINAIR HOLLAND,MPH,,135,Tripulante de Cabina
59,Jacob Duran,25-02-1988,A85793465,BRITISH,BTA,17,9,Copiloto
13,Bradley Glenn,17-10-1975,U87751971,KALITTA AIR,KAI,,146,Tripulante de Cabina
59,Jacob Duran,25-02-1988,A85793465,LATAM ARGENTINA,LAM,48,59,Copiloto
12,Ronnie Moore,12-01-1997,L28170812,LAW,LAW,,26,Tripulante de Cabina
8,Jason Edwards,09-02-1975,J22810925,MARTINAIR HOLLAND,MPH,15,0,Piloto
56,Isaiah Riley,18-09-1986,W12727804,LATAM ARGENTINA,LAM,,140,Tripulante de Cabina
37,Joe Cabrera,13-08-1994,O98651462,KOREAN AIR,KEA,25,94,Piloto
5,Miguel Oliver,27-08-1992,E21376006,LATAM DOMESTICO,LUD,,75,Tripulante de Cabina
34,Ronald Monroe,12-09-1984,C02131672,QANTAS,QAF,41,121,Copiloto
58,Samuel Jimenez,07-01-1984,B79815379,UNITED,UAN,,128,Tripulante de Cabina
37,Joe Cabrera,13-08-1994,O98651462,LAW,LAW,25,81,Copiloto
18,Michael Chavez,28-08-1976,O16330677,ETHOPIAN AIRLINES,ETA,,103,Tripulante de Cabina
52,Sara Sims,10-07-1999,F00773862,KALITTA AIR,KAI,,54,Paramedico
10,Alex Deleon,03-10-1979,A35692355,ETHOPIAN AIRLINES,ETA,11,0,Copiloto
8,Jason Edwards,09-02-1975,J22810925,AEROVIAS DAP (centro/norte),ADC,15,60,Copiloto
21,Kimberly Brown,02-09-1999,H50641909,IBERIA,IBE,22,140,Piloto
51,Kristina Gilmore,13-12-1985,B29047250,KALITTA AIR,KAI,,22,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,UNITED,UAN,,131,Tripulante de Cabina
10,Alex Deleon,03-10-1979,A35692355,IBERIA,IBE,11,76,Piloto
25,Danny Pratt,31-10-1998,E10934506,AEROVIAS DAP (centro/norte),ADC,47,112,Copiloto
59,Jacob Duran,25-02-1988,A85793465,UNITED,UAN,48,140,Copiloto
22,Rodney Wilson,18-10-1973,R08362516,EASTERN AIRLINES,EAL,,90,Tripulante de Cabina
32,Darrell Henderson,14-03-1975,I87476188,QANTAS,QAF,,146,Paramedico
8,Jason Edwards,09-02-1975,J22810925,IBERIA,IBE,15,142,Copiloto
8,Jason Edwards,09-02-1975,J22810925,LATAM ECUADOR,XLE,15,142,Copiloto
38,Gabriel Palmer,18-08-1981,O88716397,EASTERN AIRLINES,EAL,40,45,Copiloto
25,Danny Pratt,31-10-1998,E10934506,BRITISH,BTA,36,72,Piloto
31,Linda Warren,13-03-1975,L01109034,LAW,LAW,50,127,Piloto
34,Ronald Monroe,12-09-1984,C02131672,LATAM DOMESTICO,LUD,2,42,Piloto
8,Jason Edwards,09-02-1975,J22810925,LATAM ECUADOR,XLE,45,67,Piloto
41,Jeffrey Roberts,02-12-1971,G16561693,KOREAN AIR,KEA,19,114,Copiloto
0,Jessica Harvey,08-04-1996,L89163667,NO_COMPANY,NCY,37,86,Piloto
8,Jason Edwards,09-02-1975,J22810925,LATAM ECUADOR,XLE,15,80,Copiloto
22,Rodney Wilson,18-10-1973,R08362516,OCEANAIR,COG,,24,Tripulante de Cabina
21,Kimberly Brown,02-09-1999,H50641909,KALITTA AIR,KAI,22,115,Piloto
8,Jason Edwards,09-02-1975,J22810925,AEROVIAS DAP (centro/norte),ADC,15,41,Copiloto
8,Jason Edwards,09-02-1975,J22810925,LATAM INTER,LAT,45,142,Copiloto
56,Isaiah Riley,18-09-1986,W12727804,KALITTA AIR,KAI,,124,Tripulante de Cabina
59,Jacob Duran,25-02-1988,A85793465,KOREAN AIR,KEA,17,140,Copiloto
8,Jason Edwards,09-02-1975,J22810925,IBERIA,IBE,15,100,Copiloto
22,Rodney Wilson,18-10-1973,R08362516,OCEANAIR,COG,,38,Tripulante de Cabina
24,Eric Phelps,01-10-1994,B96464671,LATAM ECUADOR,XLE,35,21,Piloto
33,Samantha Mora,27-10-1990,P24467352,BRITISH,BTA,,91,Tripulante de Cabina
2,Melissa Jimenez,18-12-1998,W08204144,BRITISH,BTA,,104,Tripulante de Cabina
50,Adam Herrera,04-12-1976,Y37241205,LAW,LAW,,29,Paramedico
59,Jacob Duran,25-02-1988,A85793465,UNITED,UAN,48,17,Piloto
7,Curtis Gutierrez,14-03-1974,Q46419538,ALITALIA,AZI,7,133,Copiloto
22,Rodney Wilson,18-10-1973,R08362516,KALITTA AIR,KAI,,77,Tripulante de Cabina
52,Sara Sims,10-07-1999,F00773862,KALITTA AIR,KAI,,41,Paramedico
24,Eric Phelps,01-10-1994,B96464671,LATAM ECUADOR,XLE,35,84,Piloto
8,Jason Edwards,09-02-1975,J22810925,LATAM INTER,LAT,45,107,Copiloto
8,Jason Edwards,09-02-1975,J22810925,LATAM ARGENTINA,LAM,15,88,Copiloto
19,Desiree Williams,19-03-1993,Z32250364,LATAM ECUADOR,XLE,,119,Tripulante de Cabina
8,Jason Edwards,09-02-1975,J22810925,LACSA,LRC,15,56,Piloto
28,Nicholas Simmons,03-08-1994,W03439988,LAW,LAW,,97,Tripulante de Cabina
59,Jacob Duran,25-02-1988,A85793465,EASTERN AIRLINES,EAL,17,31,Piloto
50,Adam Herrera,04-12-1976,Y37241205,BRITISH,BTA,,29,Paramedico
37,Joe Cabrera,13-08-1994,O98651462,LATAM INTER,LAT,25,83,Copiloto
0,Jessica Harvey,08-04-1996,L89163667,NO_COMPANY,NCY,37,146,Piloto
8,Jason Edwards,09-02-1975,J22810925,MARTINAIR HOLLAND,MPH,45,107,Copiloto
59,Jacob Duran,25-02-1988,A85793465,LATAM ARGENTINA,LAM,48,129,Copiloto
23,Latasha Nelson,09-05-1986,V51246373,NO_COMPANY,NCY,49,110,Copiloto
32,Darrell Henderson,14-03-1975,I87476188,LATAM INTER,LAT,,144,Paramedico
47,Michael Compton,07-01-1980,T63857772,OCEANAIR,COG,,98,Paramedico
8,Jason Edwards,09-02-1975,J22810925,ETHOPIAN AIRLINES,ETA,15,12,Piloto
59,Jacob Duran,25-02-1988,A85793465,QANTAS,QAF,17,86,Copiloto
8,Jason Edwards,09-02-1975,J22810925,LATAM CARGO,UCA,45,107,Copiloto
25,Danny Pratt,31-10-1998,E10934506,EASTERN AIRLINES,EAL,36,139,Piloto
22,Rodney Wilson,18-10-1973,R08362516,OCEANAIR,COG,,108,Tripulante de Cabina
56,Isaiah Riley,18-09-1986,W12727804,KALITTA AIR,KAI,,89,Tripulante de Cabina
21,Kimberly Brown,02-09-1999,H50641909,IBERIA,IBE,51,38,Piloto
8,Jason Edwards,09-02-1975,J22810925,MARTINAIR HOLLAND,MPH,45,131,Piloto
56,Isaiah Riley,18-09-1986,W12727804,OCEANAIR,COG,,111,Tripulante de Cabina
59,Jacob Duran,25-02-1988,A85793465,QANTAS,QAF,48,86,Copiloto
22,Rodney Wilson,18-10-1973,R08362516,LACSA,LRC,,73,Tripulante de Cabina
25,Danny Pratt,31-10-1998,E10934506,BRITISH,BTA,47,141,Copiloto
8,Jason Edwards,09-02-1975,J22810925,LATAM DOMESTICO,LUD,45,87,Copiloto
12,Ronnie Moore,12-01-1997,L28170812,KOREAN AIR,KEA,,113,Tripulante de Cabina
25,Danny Pratt,31-10-1998,E10934506,BRITISH,BTA,36,145,Piloto
7,Curtis Gutierrez,14-03-1974,Q46419538,AEROVIAS DAP (centro/norte),ADC,7,136,Copiloto
19,Desiree Williams,19-03-1993,Z32250364,LATAM DOMESTICO,LUD,,6,Tripulante de Cabina
7,Curtis Gutierrez,14-03-1974,Q46419538,ALITALIA,AZI,7,19,Piloto
0,Jessica Harvey,08-04-1996,L89163667,NO_COMPANY,NCY,37,143,Copiloto
26,Elizabeth Jordan,16-09-1974,S70038299,MARTINAIR HOLLAND,MPH,,52,Tripulante de Cabina
40,Brian Berry,22-12-1998,N92528667,ETHOPIAN AIRLINES,ETA,,23,Paramedico
31,Linda Warren,13-03-1975,L01109034,LATAM ECUADOR,XLE,50,26,Copiloto
51,Kristina Gilmore,13-12-1985,B29047250,KALITTA AIR,KAI,,53,Tripulante de Cabina
8,Jason Edwards,09-02-1975,J22810925,LATAM ARGENTINA,LAM,45,12,Piloto
0,Jessica Harvey,08-04-1996,L89163667,LATAM CARGO,UCA,37,107,Piloto
58,Samuel Jimenez,07-01-1984,B79815379,BRITISH,BTA,,33,Tripulante de Cabina
34,Ronald Monroe,12-09-1984,C02131672,ALITALIA,AZI,41,102,Copiloto
56,Isaiah Riley,18-09-1986,W12727804,OCEANAIR,COG,,109,Tripulante de Cabina
8,Jason Edwards,09-02-1975,J22810925,AEROVIAS DAP (centro/norte),ADC,15,109,Piloto
7,Curtis Gutierrez,14-03-1974,Q46419538,ALITALIA,AZI,7,68,Piloto
56,Isaiah Riley,18-09-1986,W12727804,UNITED,UAN,,139,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,EASTERN AIRLINES,EAL,,36,Tripulante de Cabina
15,Matthew Walsh,20-09-1993,S26547035,IBERIA,IBE,12,44,Piloto
5,Miguel Oliver,27-08-1992,E21376006,UNITED,UAN,,40,Tripulante de Cabina
59,Jacob Duran,25-02-1988,A85793465,KOREAN AIR,KEA,17,35,Copiloto
59,Jacob Duran,25-02-1988,A85793465,QANTAS,QAF,48,117,Copiloto
0,Jessica Harvey,08-04-1996,L89163667,IBERIA,IBE,37,40,Copiloto
59,Jacob Duran,25-02-1988,A85793465,UNITED,UAN,17,51,Piloto
21,Kimberly Brown,02-09-1999,H50641909,AEROVIAS DAP (centro/norte),ADC,51,56,Copiloto
26,Elizabeth Jordan,16-09-1974,S70038299,MARTINAIR HOLLAND,MPH,,118,Tripulante de Cabina
59,Jacob Duran,25-02-1988,A85793465,QANTAS,QAF,48,39,Piloto
0,Jessica Harvey,08-04-1996,L89163667,LACSA,LRC,37,60,Piloto
50,Adam Herrera,04-12-1976,Y37241205,BRITISH,BTA,,33,Paramedico
51,Kristina Gilmore,13-12-1985,B29047250,KALITTA AIR,KAI,,18,Tripulante de Cabina
46,Heather Arnold,10-01-1999,Y81323264,LATAM DOMESTICO,LUD,,136,Tripulante de Cabina
24,Eric Phelps,01-10-1994,B96464671,KOREAN AIR,KEA,35,147,Piloto
51,Kristina Gilmore,13-12-1985,B29047250,KALITTA AIR,KAI,,14,Tripulante de Cabina
59,Jacob Duran,25-02-1988,A85793465,NO_COMPANY,NCY,48,101,Copiloto
25,Danny Pratt,31-10-1998,E10934506,LATAM CARGO,UCA,47,94,Copiloto
9,John Ross,16-03-1979,F40422038,BRITISH,BTA,29,106,Piloto
16,Tracey Harris,05-06-1978,C97271665,LATAM ECUADOR,XLE,,41,Tripulante de Cabina
7,Curtis Gutierrez,14-03-1974,Q46419538,NO_COMPANY,NCY,7,1,Piloto
7,Curtis Gutierrez,14-03-1974,Q46419538,NO_COMPANY,NCY,7,133,Copiloto
56,Isaiah Riley,18-09-1986,W12727804,IBERIA,IBE,,38,Tripulante de Cabina
8,Jason Edwards,09-02-1975,J22810925,ETHOPIAN AIRLINES,ETA,45,142,Copiloto
59,Jacob Duran,25-02-1988,A85793465,LAW,LAW,17,59,Copiloto
59,Jacob Duran,25-02-1988,A85793465,NO_COMPANY,NCY,17,52,Copiloto
7,Curtis Gutierrez,14-03-1974,Q46419538,KALITTA AIR,KAI,7,141,Piloto
31,Linda Warren,13-03-1975,L01109034,LAW,LAW,50,9,Piloto
21,Kimberly Brown,02-09-1999,H50641909,KALITTA AIR,KAI,22,136,Piloto
25,Danny Pratt,31-10-1998,E10934506,LATAM ECUADOR,XLE,36,8,Copiloto
25,Danny Pratt,31-10-1998,E10934506,EASTERN AIRLINES,EAL,47,8,Copiloto
59,Jacob Duran,25-02-1988,A85793465,BRITISH,BTA,48,99,Copiloto
37,Joe Cabrera,13-08-1994,O98651462,KOREAN AIR,KEA,25,91,Copiloto
59,Jacob Duran,25-02-1988,A85793465,ALITALIA,AZI,48,3,Copiloto
8,Jason Edwards,09-02-1975,J22810925,AEROVIAS DAP (centro/norte),ADC,45,0,Piloto
22,Rodney Wilson,18-10-1973,R08362516,LACSA,LRC,,74,Tripulante de Cabina
2,Melissa Jimenez,18-12-1998,W08204144,LATAM DOMESTICO,LUD,,46,Tripulante de Cabina
7,Curtis Gutierrez,14-03-1974,Q46419538,KALITTA AIR,KAI,7,8,Piloto
23,Latasha Nelson,09-05-1986,V51246373,LACSA,LRC,49,97,Piloto
22,Rodney Wilson,18-10-1973,R08362516,LACSA,LRC,,138,Tripulante de Cabina
21,Kimberly Brown,02-09-1999,H50641909,AEROVIAS DAP (centro/norte),ADC,22,136,Piloto
0,Jessica Harvey,08-04-1996,L89163667,LATAM CARGO,UCA,37,23,Copiloto
59,Jacob Duran,25-02-1988,A85793465,QANTAS,QAF,17,129,Copiloto
25,Danny Pratt,31-10-1998,E10934506,LATAM CARGO,UCA,47,8,Copiloto
53,Patricia Alvarado,01-08-1983,P27318304,AEROVIAS DAP (centro/norte),ADC,,81,Paramedico
21,Kimberly Brown,02-09-1999,H50641909,AEROVIAS DAP (centro/norte),ADC,51,53,Copiloto
35,Francisco Rich,21-02-1996,D89562085,QANTAS,QAF,,106,Paramedico
25,Danny Pratt,31-10-1998,E10934506,EASTERN AIRLINES,EAL,47,137,Piloto
38,Gabriel Palmer,18-08-1981,O88716397,UNITED,UAN,40,123,Piloto
59,Jacob Duran,25-02-1988,A85793465,QANTAS,QAF,48,66,Piloto
8,Jason Edwards,09-02-1975,J22810925,MARTINAIR HOLLAND,MPH,15,131,Piloto
2,Melissa Jimenez,18-12-1998,W08204144,LATAM DOMESTICO,LUD,,9,Tripulante de Cabina
0,Jessica Harvey,08-04-1996,L89163667,LATAM CARGO,UCA,37,22,Copiloto
26,Elizabeth Jordan,16-09-1974,S70038299,LAW,LAW,,97,Tripulante de Cabina
24,Eric Phelps,01-10-1994,B96464671,LATAM CARGO,UCA,35,147,Piloto
8,Jason Edwards,09-02-1975,J22810925,LATAM CARGO,UCA,15,67,Piloto
4,Diane Swanson,14-02-1974,F08731569,KALITTA AIR,KAI,,105,Tripulante de Cabina
25,Danny Pratt,31-10-1998,E10934506,AEROVIAS DAP (centro/norte),ADC,36,112,Copiloto
52,Sara Sims,10-07-1999,F00773862,KALITTA AIR,KAI,,12,Paramedico
59,Jacob Duran,25-02-1988,A85793465,LATAM ARGENTINA,LAM,17,2,Piloto
59,Jacob Duran,25-02-1988,A85793465,QANTAS,QAF,48,98,Piloto
25,Danny Pratt,31-10-1998,E10934506,EASTERN AIRLINES,EAL,47,91,Piloto
59,Jacob Duran,25-02-1988,A85793465,LATAM ARGENTINA,LAM,17,35,Copiloto
